title,country,date,impact,forecast,previous
Final GDP q/q,JPY,2025-09-07 19:50,Low,0.3%,0.3%
Trade Balance,CNY,2025-09-07 23:01,Low,750B,705B
USD-Denominated Trade Balance,CNY,2025-09-07 23:02,Low,99.4B,98.2B
Industrial Production m/m,EUR,2025-09-08 02:00,Low,1.1%,-1.9%
Trade Balance,EUR,2025-09-08 02:00,Low,15.7B,14.9B
LME Copper Inventories,GBP,2025-09-08 04:00,Medium,,-425
M2 Money Stock y/y,JPY,2025-09-08 19:50,Low,1.1%,1.0%
Industrial Production m/m,EUR,2025-09-09 02:45,Low,-1.4%,3.8%
LME Copper Inventories,GBP,2025-09-09 04:00,Medium,,-2125
SNB Chairman Schlegel Speaks,CHF,2025-09-09 07:50,Low,,
CPI y/y,CNY,2025-09-09 21:30,Low,-0.2%,0.0%
PPI y/y,CNY,2025-09-09 21:30,Low,-2.9%,-3.6%
WPIC Platinum Quarterly,All,2025-09-09 23:30,Low,,
Industrial Production m/m,EUR,2025-09-10 04:00,Low,0.1%,0.2%
LME Copper Inventories,GBP,2025-09-10 04:00,Medium,,-550
SNB Chairman Schlegel Speaks,CHF,2025-09-10 07:45,Low,,
Core PPI m/m,USD,2025-09-10 08:30,High,0.3%,0.9%
PPI m/m,USD,2025-09-10 08:30,High,0.3%,0.9%
Final Wholesale Inventories m/m,USD,2025-09-10 10:00,Low,0.2%,0.2%
CPI m/m,RUB,2025-09-10 12:00,Low,-0.2%,0.6%
10-y Bond Auction,USD,2025-09-10 13:01,Low,,4.26|2.4
RBNZ Gov Hawkesby Speaks,NZD,2025-09-10 19:15,Low,,
LME Copper Inventories,GBP,2025-09-11 04:00,Medium,,-225
M2 Money Supply y/y,CNY,2025-09-11 04:03,Medium,8.7%,8.8%
New Loans,CNY,2025-09-11 04:03,Medium,700B,-50B
Current Account,ZAR,2025-09-11 05:00,Low,-60B,-36B
Manufacturing Production m/m,ZAR,2025-09-11 07:00,Low,0.7%,0.0%
Industrial Production m/m,MXN,2025-09-11 08:00,Low,0.0%,-0.1%
Main Refinancing Rate,EUR,2025-09-11 08:15,Medium,2.15%,2.15%
Monetary Policy Statement,EUR,2025-09-11 08:15,Medium,,
Core CPI m/m,USD,2025-09-11 08:30,High,0.3%,0.3%
CPI m/m,USD,2025-09-11 08:30,High,0.3%,0.2%
CPI y/y,USD,2025-09-11 08:30,High,2.9%,2.7%
Unemployment Claims,USD,2025-09-11 08:30,Medium,235K,237K
ECB Press Conference,EUR,2025-09-11 08:45,High,,
International Reserves,RUB,2025-09-11 09:00,Low,,686B
Trade Balance,RUB,2025-09-11 09:00,Low,8.4B,9.3B
30-y Bond Auction,USD,2025-09-11 13:01,Low,,4.81|2.3
Revised Industrial Production m/m,JPY,2025-09-12 00:30,Low,-1.6%,-1.6%
Final CPI m/m,EUR,2025-09-12 02:00,Low,0.1%,0.1%
Construction Output m/m,GBP,2025-09-12 02:00,Low,-0.2%,0.3%
GDP m/m,GBP,2025-09-12 02:00,Low,0.0%,0.4%
Goods Trade Balance,GBP,2025-09-12 02:00,Low,-21.6B,-22.2B
Industrial Production m/m,GBP,2025-09-12 02:00,Low,0.0%,0.7%
Manufacturing Production m/m,GBP,2025-09-12 02:00,Low,0.1%,0.5%
LME Copper Inventories,GBP,2025-09-12 04:00,Medium,,
Capacity Utilization Rate,CAD,2025-09-12 08:30,Low,78.8%,80.1%
Prelim UoM Consumer Sentiment,USD,2025-09-12 10:00,Medium,58.2,58.6
Prelim UoM Inflation Expectations,USD,2025-09-12 10:00,Medium,,4.9%
